epoch,loss
0,0.273611
10,0.210284
20,0.195297
30,0.191498
40,0.190173
50,0.189524
60,0.189098
70,0.188757
80,0.188455
90,0.188175
100,0.187908
110,0.187649
120,0.187397
130,0.187149
140,0.186904
150,0.186661
160,0.186418
170,0.186174
180,0.185929
190,0.18568
200,0.185428
210,0.185171
220,0.184908
230,0.184639
240,0.184363
250,0.184078
260,0.183785
270,0.183483
280,0.183171
290,0.182848
300,0.182514
310,0.182168
320,0.181811
330,0.181441
340,0.181058
350,0.180662
360,0.180252
370,0.179828
380,0.17939
390,0.178937
400,0.178469
410,0.177986
420,0.177486
430,0.176971
440,0.17644
450,0.175892
460,0.175326
470,0.174744
480,0.174143
490,0.173524
500,0.172885
510,0.172228
520,0.17155
530,0.170851
540,0.17013
550,0.169387
560,0.168621
570,0.16783
580,0.167014
590,0.166172
600,0.165302
610,0.164404
620,0.163477
630,0.16252
640,0.161532
650,0.160513
660,0.15946
670,0.158375
680,0.157256
690,0.156103
700,0.154915
710,0.153692
720,0.152434
730,0.15114
740,0.14981
750,0.148444
760,0.147041
770,0.145601
780,0.144124
790,0.14261
800,0.141058
810,0.139467
820,0.137838
830,0.13617
840,0.134463
850,0.132718
860,0.130935
870,0.129114
880,0.127256
890,0.125364
900,0.123439
910,0.121483
920,0.119499
930,0.117492
940,0.115464
950,0.113422
960,0.111369
970,0.109311
980,0.107254
990,0.105204
1000,0.103166
1010,0.101147
1020,0.0991521
1030,0.0971867
1040,0.0952559
1050,0.0933641
1060,0.0915154
1070,0.0897133
1080,0.0879604
1090,0.086259
1100,0.0846108
1110,0.0830166
1120,0.0814772
1130,0.0799924
1140,0.078562
1150,0.0771851
1160,0.0758607
1170,0.0745876
1180,0.0733642
1190,0.0721888
1200,0.0710598
1210,0.0699752
1220,0.0689333
1230,0.0679322
1240,0.06697
1250,0.066045
1260,0.0651553
1270,0.0642993
1280,0.0634753
1290,0.0626817
1300,0.0619171
1310,0.06118
1320,0.0604692
1330,0.0597832
1340,0.0591209
1350,0.0584812
1360,0.057863
1370,0.0572653
1380,0.0566871
1390,0.0561276
1400,0.0555858
1410,0.0550611
1420,0.0545526
1430,0.0540596
1440,0.0535815
1450,0.0531177
1460,0.0526676
1470,0.0522305
1480,0.051806
1490,0.0513935
1500,0.0509926
1510,0.0506028
1520,0.0502238
1530,0.049855
1540,0.049496
1550,0.0491466
1560,0.0488064
1570,0.048475
1580,0.0481521
1590,0.0478374
1600,0.0475305
1610,0.0472313
1620,0.0469395
1630,0.0466548
1640,0.0463769
1650,0.0461056
1660,0.0458407
1670,0.045582
1680,0.0453292
1690,0.0450823
1700,0.0448409
1710,0.0446049
1720,0.0443741
1730,0.0441483
1740,0.0439275
1750,0.0437114
1760,0.0434999
1770,0.0432928
1780,0.04309
1790,0.0428914
